id,var_name,value,unit,reference,Comment,tag_1,tag_2,component,,,,,,,,
1,var_costs_excess_bel,0,EUR/MWh,,,,,bus,,,,,,,,
2,var_costs_excess_bth,0,EUR/MWh,,,,,bus,,,,,,,costs,bus
3,var_costs_shortage_bth,1000000,EUR/MWh,,,,,bus,,,,,,,,
4,var_costs_shortage_bel,1000000,EUR/MWh,,,,,bus,,,,,,,,
5,nom_val_gas,100000,MW,,,,,source,,,,,,,,
6,sum_max_gas,100000000,MWh,,,,,source,,,,,,,,
7,var_costs_gas,70,EURMWh,,,,,source,,,,,,,,
8,nom_val_neg_residual,150,MWh,,,,,source,,,,,,,,
9,nom_val_demand_el,1000,MWh,,,,,sink,,,,,,,,
10,nom_val_demand_th,1000,MWh,,,,,sink,,,,,,,,
11,var_costs_boiler,0,EUR/MWh,,,,,boiler,,,,,,,,
12,conversion_factor_boiler,0.9,1,,,,,boiler,,,,,,,,
13,nom_val_p2h_out_bth,150,MW,,,,,p2h,,,,,,,,
14,var_costs_p2h_out_bth,0,EUR/MWh,,,,,p2h,,,,,,,,
15,conversion_factor_p2h,0.99,1,,,,,p2h,,,,,,,,
16,capacity_loss_storage_th,0.001,1,,,,,storage_th,,,,,,,,
17,inflow_conv_factor_storage_th,1,1,,,,,storage_th,,,,,,,,
18,outflow_conv_factor_storage_th,0.99,1,,,,,storage_th,,,,,,,,
19,capacity_loss_storage_el,0.01,1,,,,,storage_el,,,,,,,,
20,inflow_conv_factor_storage_el,1,1,,,,,storage_el,,,,,,,,
21,outflow_conv_factor_storage_el,0.95,1,,,,,storage_el,,,,,,,,
22,init_capacity_storage_th,0.5,1,,,,,storage_th,,,,,,,,
23,init_capacity_storage_el,0.5,1,,,,,storage_el,,,,,,,,
24,var_costs_input_bth_storage_th,0,EUR/MWh,,,,,storage_th,,,,,,,,
25,var_costs_output_bth_storage_th,0,EUR/MWh,,,,,storage_th,,,,,,,,
26,var_costs_input_bel_storage_el,0,EUR/MWh,,,,,storage_el,,,,,,,,
27,var_costs_output_bel_storage_el,0,EUR/MWh,,,,,storage_el,,,,,,,,
28,emission_gas,202,kg/MWh_th,,,,,,,,,,,,,
