id,var_name,value,unit,component
1,charging_time_storage_th,6,h,storage_th
2,charging_time_storage_el,1,h,storage_el
3,var_costs_excess_bel,0,EUR/MWh,bus
4,var_costs_excess_bth,0,EUR/MWh,bus
5,var_costs_shortage_bth,1000000,EUR/MWh,bus
6,var_costs_shortage_bel,1000000,EUR/MWh,bus
7,nom_val_gas,100000,MW,source
8,sum_max_gas,100000000,MWh,source
9,var_costs_gas,33.8,EUR/MWh,source
10,nom_val_neg_residual,150,MWh,source
11,nom_val_demand_el,1000,MWh,sink
12,nom_val_demand_th,1000,MWh,sink
13,var_costs_boiler,0,EUR/MWh,boiler
14,conversion_factor_boiler,0.9,,boiler
15,nom_val_p2h_out_bth,150,MW,p2h
16,var_costs_p2h_out_bth,0,EUR/MWh,p2h
17,conversion_factor_p2h,0.99,,p2h
18,capacity_loss_storage_th,1,,storage_th
19,inflow_conv_factor_storage_th,1,,storage_th
20,outflow_conv_factor_storage_th,0.99,,storage_th
21,capacity_loss_storage_el,0,,storage_el
22,inflow_conv_factor_storage_el,1,,storage_el
23,outflow_conv_factor_storage_el,0.95,,storage_el
24,init_capacity_storage_th,0.5,,storage_th
25,init_capacity_storage_el,0.5,,storage_el
26,var_costs_input_bth_storage_th,0,EUR/MWh,storage_th
27,var_costs_output_bth_storage_th,0,EUR/MWh,storage_th
28,var_costs_input_bel_storage_el,0,EUR/MWh,storage_el
29,var_costs_output_bel_storage_el,0,EUR/MWh,storage_el
30,capex_TES,8000,EUR/MWh,storage_th
31,lifetime_TES,20,a,storage_th
32,wacc_TES,0.08,,storage_el
33,capex_EES,200000,EUR/MWh,storage_el
34,lifetime_EES,20,a,storage_el
35,wacc_EES,0.08,,chp
36,capex_CHP,700000,EUR/MW,chp
37,lifetime_CHP,20,a,chp
38,wacc_CHP,0.08,,chp
39,conv_factor_bel_CHP,0.55,,chp
40,conv_factor_bth_CHP,0.3,,chp
41,conv_factor_full_cond,0.6,,chp
42,capex_boiler,59000,EUR/MW,boiler
43,lifetime_boiler,20,a,boiler
44,wacc_boiler,0.08,,boiler
45,capex_p2h,100000,EUR/MW,p2h
46,lifetime_p2h,20,a,p2h
47,wacc_p2h,0.08,,p2h
48,el_price,-120,EUR/MWh,economic
49,price_factor_sqr,1794,,economic
